n;id;age;gender;foreigner;country_orig;orig_in_zone;mpio_orig;resid_in_zone;mpio_resid;resid_in_dept;years_resid;activity;sector;econ_sector;educ;env_home;dwel_type;wages_smmv;opp_city_nat;for_wet_pub;junt_loc_ef;partic_com
1869;2721;18;male;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;18;student;NA;NA;Secundary (bachillerato);Urban;Property;5;2;4;3;2
1870;2722;22;male;FALSE;Colombia;FALSE;Valledupar;TRUE;Bogotá D.C.;TRUE;7;student;NA;NA;Pregraduate;Urban;Rent;3;2;4;3;2
1871;2725;47;male;FALSE;Colombia;FALSE;Ubalá;TRUE;Bogotá D.C.;TRUE;40;student;NA;NA;Pregraduate;Urban;Family;10;4;1;2;3
1872;2728;24;female;FALSE;Colombia;FALSE;Valledupar;TRUE;Bogotá D.C.;TRUE;5;student;NA;NA;Pregraduate;Urban;Rent;3;4;4;1;1
1873;2731;26;female;FALSE;Colombia;FALSE;Ibagué;TRUE;Bogotá D.C.;TRUE;5;student;NA;NA;Pregraduate;Urban;Rent;10;2;4;4;2
1874;2735;58;female;FALSE;Colombia;FALSE;Ubalá;TRUE;Bogotá D.C.;TRUE;45;unemployed;NA;NA;Pregraduate;Urban;Family;10;5;5;1;1
1875;2732;23;male;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;23;student;NA;NA;Pregraduate;Urban;Family;7;2;1;4;3
1876;2738;89;female;FALSE;Colombia;FALSE;Ubalá;TRUE;Bogotá D.C.;TRUE;50;unemployed;NA;NA;Secundary (bachillerato);Urban;Property;10;5;1;1;1
1877;2736;24;male;FALSE;Colombia;FALSE;Santa Marta;TRUE;Bogotá D.C.;TRUE;8;student;NA;NA;Pregraduate;Urban;Property;4;2;2;4;4
1878;2739;21;female;FALSE;Colombia;FALSE;Villavicencio;TRUE;Bogotá D.C.;TRUE;8;student;NA;NA;Pregraduate;Suburb;Family;2;5;5;3;4
1879;2734;20;female;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;20;student;NA;NA;Pregraduate;Urban;Property;1;1;2;3;5
1880;2743;18;male;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;18;student;NA;NA;Pregraduate;Urban;Property;10;2;4;3;3
1881;2748;26;male;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;30;student;NA;NA;Pregraduate;Rural;Property;5;4;4;3;3
1882;2755;21;male;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;21;student;NA;NA;Pregraduate;Urban;Family;6;4;1;1;4
1883;2761;18;female;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;18;student;NA;NA;Pregraduate;Suburb;Property;5;4;1;2;4
1884;2764;20;female;FALSE;Colombia;FALSE;La Dorada;TRUE;Bogotá D.C.;TRUE;2;student;NA;NA;Pregraduate;Urban;Rent;2;5;2;3;3
1885;2772;18;female;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;6;student;NA;NA;Pregraduate;Urban;Family;5;2;3;4;4
1886;2769;33;male;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;33;unemployed;NA;NA;Pregraduate;Urban;Rent;1;3;2;1;4
1887;2795;56;female;FALSE;Colombia;FALSE;San Bernardo;TRUE;Bogotá D.C.;TRUE;55;unemployed;NA;NA;Secundary (bachillerato);Urban;Rent;1;2;4;2;3
1888;2807;17;female;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;17;student;NA;NA;Secundary (bachillerato);Urban;Family;10;2;2;2;3
1889;2806;20;female;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;20;student;NA;NA;Pregraduate;Urban;Property;6;3;3;3;3
1890;2805;20;female;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;20;student;NA;NA;Pregraduate;Urban;Family;3;5;1;3;4
1891;2816;29;male;TRUE;Venezuela;NA;NA;TRUE;Bogotá D.C.;TRUE;1;employee;NA;Commerce;Pregraduate;Urban;Rent;5;2;2;1;2
1892;2830;20;male;FALSE;Colombia;FALSE;Bucaramanga;TRUE;Bogotá D.C.;TRUE;3;student;NA;NA;Pregraduate;Urban;Property;10;2;3;3;3
1893;2824;22;male;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;20;student;NA;NA;Pregraduate;Urban;Family;4;2;4;4;3
1894;2906;22;female;FALSE;Colombia;FALSE;Barranquilla;TRUE;Bogotá D.C.;TRUE;4;student;NA;NA;Pregraduate;Urban;Rent;4;2;2;3;2
1895;2876;70;female;FALSE;Colombia;FALSE;Corozal;TRUE;Bogotá D.C.;TRUE;10;unemployed;NA;NA;Pregraduate;Urban;Property;5;3;3;3;3
1896;2883;22;male;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;2;student;NA;NA;Pregraduate;Urban;Rent;3;1;2;3;3
1897;2886;23;female;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;23;student;NA;NA;Pregraduate;Rural;Rent;5;2;3;2;2
1898;2892;19;female;FALSE;Colombia;FALSE;Valledupar;TRUE;Bogotá D.C.;TRUE;1;student;NA;NA;Pregraduate;Urban;Family;10;3;3;3;3
1899;2858;21;female;FALSE;Colombia;FALSE;Neiva;FALSE;Mosquera;TRUE;5;student;NA;NA;Pregraduate;Urban;Property;2;3;4;3;3
1900;2911;22;female;FALSE;Colombia;FALSE;Barranquilla;TRUE;Bogotá D.C.;TRUE;4;student;NA;NA;Pregraduate;Urban;Rent;4;4;4;3;4
1901;2920;28;female;FALSE;Colombia;FALSE;Sincelejo;TRUE;Bogotá D.C.;TRUE;2;unemployed;NA;NA;Pregraduate;Urban;Rent;2;3;3;3;3
1902;2900;19;female;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;19;student;NA;NA;Pregraduate;Rural;Rent;4;4;4;4;4
1903;2933;34;male;FALSE;Colombia;FALSE;Corozal;TRUE;Bogotá D.C.;TRUE;1;unemployed;NA;NA;Secundary (bachillerato);Urban;Rent;2;3;1;3;2
1904;2936;19;male;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;19;student;NA;NA;Secundary (bachillerato);Urban;Family;7;2;5;3;3
1905;2940;24;male;FALSE;Colombia;FALSE;Pamplona;TRUE;Bogotá D.C.;TRUE;1;unemployed;NA;NA;Pregraduate;Urban;Rent;4;2;4;3;3
1906;2945;27;female;FALSE;Colombia;FALSE;Coloso;TRUE;Bogotá D.C.;TRUE;2;unemployed;NA;NA;Pregraduate;Suburb;Rent;1;2;2;2;2
1907;2951;42;male;FALSE;Colombia;FALSE;Argelia;TRUE;Bogotá D.C.;TRUE;4;unemployed;NA;NA;Pregraduate;Urban;Rent;1;3;3;2;2
1908;2966;39;female;FALSE;Colombia;FALSE;Turbo;TRUE;Bogotá D.C.;TRUE;2;unemployed;NA;NA;Pregraduate;Suburb;Family;1;1;2;3;2
1909;2978;18;female;FALSE;Colombia;TRUE;Chía;TRUE;Chía;TRUE;18;student;NA;NA;Secundary (bachillerato);Urban;Family;6;1;5;3;3
1910;2958;20;female;FALSE;Colombia;FALSE;Barranquilla;TRUE;Bogotá D.C.;TRUE;4;student;NA;NA;Secundary (bachillerato);Urban;Family;6;2;5;2;4
1911;2987;19;male;FALSE;Colombia;FALSE;Sincelejo;TRUE;Bogotá D.C.;TRUE;4;student;NA;NA;Secundary (bachillerato);Urban;Family;8;1;1;3;3
1912;3005;49;female;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;20;unemployed;NA;NA;Pregraduate;Urban;Property;8;2;3;2;3
1913;3011;20;female;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;20;student;NA;NA;Pregraduate;Urban;Family;3;2;4;1;1
1914;3024;38;female;FALSE;Colombia;FALSE;La Dorada;TRUE;Bogotá D.C.;TRUE;3;unemployed;NA;NA;Secundary (bachillerato);Urban;Rent;1;2;2;3;3
1915;3026;30;female;FALSE;Colombia;FALSE;Bosconia;TRUE;Bogotá D.C.;TRUE;1;unemployed;NA;NA;Pregraduate;Urban;Rent;2;1;3;3;2
1916;3027;48;male;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;35;unemployed;NA;NA;Pregraduate;Rural;Property;3;4;4;3;2
1917;3022;16;female;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;16;student;NA;NA;Secundary (bachillerato);Urban;Property;3;2;2;1;2
1918;3056;68;female;FALSE;Colombia;FALSE;Galeras;TRUE;Bogotá D.C.;TRUE;4;unemployed;NA;NA;Pregraduate;Suburb;Property;2;1;3;3;2
1919;3102;23;female;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;23;student;NA;NA;Pregraduate;Urban;Family;5;2;5;3;3
1920;2980;18;male;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;18;student;NA;NA;Pregraduate;Suburb;Property;6;3;3;3;3
1921;3080;20;female;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;20;student;NA;NA;Pregraduate;Urban;Family;3;4;2;2;3
1922;3099;18;male;FALSE;Colombia;FALSE;Bucaramanga;TRUE;Bogotá D.C.;TRUE;1;student;NA;NA;Pregraduate;Urban;Rent;10;2;4;2;2
1923;3105;42;female;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;42;unemployed;NA;NA;Specialization;Urban;Property;7;4;2;1;3
1924;3093;18;female;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;18;student;NA;NA;Pregraduate;Urban;Rent;8;2;4;3;4
1925;2964;19;female;FALSE;Colombia;FALSE;Arauca;TRUE;Bogotá D.C.;TRUE;3;student;NA;NA;Pregraduate;Urban;Family;3;1;1;3;3
1926;3113;21;female;FALSE;Colombia;FALSE;Arauca;TRUE;Bogotá D.C.;TRUE;4;student;NA;NA;Pregraduate;Rural;Family;3;1;1;3;3
1927;3126;19;female;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;19;student;NA;NA;Pregraduate;Urban;Family;2;1;5;2;3
1928;3007;19;female;FALSE;Colombia;FALSE;Villavicencio;TRUE;Bogotá D.C.;TRUE;19;student;NA;NA;Secundary (bachillerato);Urban;Family;10;NA;4;3;3
1929;3131;22;female;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;22;student;NA;NA;Pregraduate;Urban;Family;6;5;2;2;2
1930;3127;18;male;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;18;student;NA;NA;Pregraduate;Urban;Family;5;2;4;2;4
1931;3123;18;male;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;18;student;NA;NA;Secundary (bachillerato);Urban;Family;10;2;5;5;4
1932;3095;23;male;FALSE;Colombia;FALSE;Pasto;TRUE;Bogotá D.C.;TRUE;6;student;NA;NA;Pregraduate;Urban;Rent;4;3;NA;3;3
1933;3125;18;male;FALSE;Colombia;FALSE;Cartagena de Indias;TRUE;Bogotá D.C.;TRUE;1;student;NA;NA;Pregraduate;Urban;Rent;3;NA;2;3;3
1934;3150;18;female;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;18;student;NA;NA;Secundary (bachillerato);Urban;Property;2;4;2;2;3
1935;3151;18;female;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;18;student;NA;NA;Pregraduate;Suburb;Property;7;3;NA;2;3
1936;3183;18;female;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;18;student;NA;NA;Pregraduate;Urban;Rent;10;2;3;2;3
1937;3098;18;female;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;18;student;NA;NA;Pregraduate;Urban;Family;10;2;3;1;1
1938;3191;31;female;FALSE;Colombia;FALSE;Sogamoso;TRUE;Bogotá D.C.;TRUE;14;unemployed;NA;NA;Pregraduate;Urban;Rent;3;4;1;1;1
1939;3197;19;female;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;19;student;NA;NA;Pregraduate;Suburb;Family;5;1;1;3;1
1940;3201;52;female;FALSE;Colombia;FALSE;Manizales;TRUE;Bogotá D.C.;TRUE;10;unemployed;NA;NA;Pregraduate;Urban;Rent;6;2;4;3;3
1941;3144;54;female;FALSE;Colombia;FALSE;Boyacá;TRUE;Bogotá D.C.;TRUE;45;unemployed;NA;NA;Pregraduate;Rural;Property;3;5;3;5;4
1942;3212;42;male;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;42;employee;private or independant;Construction;Primary;Urban;Rent;NA;3;3;2;2
1943;3232;37;male;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;37;employee;private or independant;Other;Primary;Urban;Family;NA;2;3;2;2
1944;3262;19;female;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;19;student;NA;NA;Pregraduate;Urban;Property;9;2;1;4;3
1945;3142;18;female;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;18;student;NA;NA;Secundary (bachillerato);Urban;Family;1;1;NA;2;NA
1946;3235;17;female;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;17;student;NA;NA;Secundary (bachillerato);Urban;Rent;3;1;4;2;3
1947;3228;20;female;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;20;student;NA;NA;Pregraduate;Urban;Family;1;1;2;4;4
1948;3207;18;female;FALSE;Colombia;FALSE;Mosquera;FALSE;Mosquera;TRUE;18;student;NA;NA;Pregraduate;Suburb;Property;2;2;4;3;3
1949;3261;18;female;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;18;student;NA;NA;Pregraduate;Urban;Property;10;2;3;3;5
1950;3245;18;female;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;17;student;NA;NA;Pregraduate;Urban;Family;5;3;2;3;3
1951;3286;24;male;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;24;student;NA;NA;Pregraduate;Urban;Family;6;5;3;1;1
1952;3277;18;male;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;13;student;NA;NA;Pregraduate;Urban;Family;10;1;4;3;4
1953;3279;55;female;FALSE;Colombia;TRUE;Zipaquirá;TRUE;Bogotá D.C.;TRUE;40;unemployed;NA;NA;Doctorate;Rural;Property;2;3;4;4;3
1954;3292;42;female;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Cota;TRUE;7;unemployed;NA;NA;Secundary (bachillerato);Suburb;Rent;1;4;3;2;4
1955;3254;65;male;FALSE;Colombia;TRUE;Zipaquirá;TRUE;Bogotá D.C.;TRUE;45;unemployed;NA;NA;Primary;Urban;Property;3;2;4;4;4
1956;3319;23;male;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;23;unemployed;NA;NA;Pregraduate;Rural;Property;1;2;4;4;4
1957;3295;18;male;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;18;student;NA;NA;Secundary (bachillerato);Urban;Rent;4;4;2;3;1
1958;3331;NA;female;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;50;independent;private or independant;Homemaker;Pregraduate;Urban;Property;3;1;1;3;3
1959;3329;18;female;FALSE;Colombia;TRUE;Bogotá D.C.;FALSE;Soacha;TRUE;1;student;NA;NA;Secundary (bachillerato);Urban;Property;1;4;3;3;4
1960;3338;24;male;FALSE;Colombia;FALSE;Cali;TRUE;Bogotá D.C.;TRUE;6;unemployed;NA;NA;Specialization;Urban;Family;5;4;1;2;3
1961;3346;20;female;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;20;student;NA;NA;Pregraduate;Urban;Family;7;3;2;1;4
1962;3357;19;male;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;18;student;NA;NA;Pregraduate;Urban;Family;3;3;1;4;4
1963;3358;19;female;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;1;student;NA;NA;Pregraduate;Urban;Rent;2;2;2;4;2
1964;3366;18;female;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;18;student;NA;NA;Pregraduate;Urban;Property;7;2;1;2;2
1965;3350;24;female;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;6;student;NA;NA;Pregraduate;Urban;Rent;3;3;3;2;2
1966;3390;24;male;FALSE;Colombia;FALSE;Arauca;TRUE;Bogotá D.C.;TRUE;3;student;NA;NA;Pregraduate;Urban;Rent;3;5;5;3;3
1967;3389;21;female;FALSE;Colombia;FALSE;Ibagué;TRUE;Bogotá D.C.;TRUE;3;student;NA;NA;Pregraduate;Rural;Rent;2;4;4;3;3
1968;3079;43;female;FALSE;Colombia;TRUE;Bogotá D.C.;NA;NA;NA;14;independent;private or independant;Other;Pregraduate;Urban;Property;10;3;4;3;3
1969;3388;18;female;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;18;student;NA;NA;Pregraduate;Urban;Family;5;3;4;3;3
1970;3409;18;male;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;18;student;NA;NA;Secundary (bachillerato);Urban;Family;9;3;4;2;4
1971;3411;18;male;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;18;student;NA;NA;Pregraduate;Urban;Rent;3;3;5;3;3
1972;3413;17;male;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;17;student;NA;NA;Pregraduate;Urban;Property;7;4;3;2;2
1973;3395;18;male;FALSE;Colombia;FALSE;Cúcuta;TRUE;Bogotá D.C.;TRUE;2;student;NA;NA;Pregraduate;Urban;Rent;3;1;3;2;2
1974;3416;94;male;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;94;unemployed;NA;NA;Master;Urban;Rent;8;5;1;1;1
1975;3154;18;female;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;18;student;NA;NA;Pregraduate;Urban;Rent;6;5;4;1;3
1976;3420;78;female;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;78;unemployed;NA;NA;Secundary (bachillerato);Urban;Property;3;5;4;1;1
1977;3418;24;male;FALSE;Colombia;FALSE;Gachalá;TRUE;Bogotá D.C.;TRUE;4;student;NA;NA;Pregraduate;Urban;Rent;3;1;3;2;2
1978;3424;24;male;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;24;student;NA;NA;Secundary (bachillerato);Urban;Property;5;1;1;5;NA
1979;3433;22;female;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;22;student;NA;NA;Pregraduate;Urban;Family;5;NA;5;5;NA
1980;3440;43;female;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;43;independent;public;Commerce;Secundary (bachillerato);Urban;Property;NA;NA;2;3;NA
1981;3453;17;male;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;17;student;NA;NA;Secundary (bachillerato);Rural;Family;7;NA;1;3;NA
1982;3451;27;female;FALSE;Colombia;FALSE;Cúcuta;TRUE;Bogotá D.C.;TRUE;10;student;NA;NA;Pregraduate;Urban;Property;4;4;4;3;2
1983;3460;17;female;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;17;student;NA;NA;Secundary (bachillerato);Urban;Family;7;NA;1;1;NA
1984;3281;21;male;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;21;student;NA;NA;Pregraduate;Urban;Family;1;2;4;3;2
1985;3470;18;male;FALSE;Colombia;FALSE;Cúcuta;TRUE;Bogotá D.C.;TRUE;1;student;NA;NA;Pregraduate;Urban;Rent;2;1;1;1;1
1986;3469;21;male;FALSE;Colombia;FALSE;Pamplona;TRUE;Bogotá D.C.;TRUE;6;student;NA;NA;Pregraduate;Urban;Family;2;5;4;2;2
1987;3441;18;female;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;12;student;NA;NA;Secundary (bachillerato);Urban;Property;10;4;3;3;3
1988;3477;18;male;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;18;student;NA;NA;Secundary (bachillerato);Urban;Property;10;3;3;3;3
1989;3484;18;female;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;18;student;NA;NA;Secundary (bachillerato);Urban;Family;2;3;3;3;3
1990;3532;18;female;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;18;student;NA;NA;Secundary (bachillerato);Urban;Family;7;NA;1;5;NA
1991;3494;18;female;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;18;student;NA;NA;Secundary (bachillerato);Urban;Rent;6;3;2;4;3
1992;3478;18;male;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;18;student;NA;NA;Secundary (bachillerato);Urban;Family;10;3;4;3;3
1993;3264;46;female;FALSE;Colombia;FALSE;Carcasí;TRUE;Bogotá D.C.;TRUE;23;unemployed;NA;NA;Primary;Urban;Family;2;5;2;3;NA
1994;3479;23;male;FALSE;Colombia;FALSE;Vélez;TRUE;Bogotá D.C.;TRUE;3;student;NA;NA;Pregraduate;Urban;Rent;2;1;4;3;3
1995;3488;22;male;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;22;student;NA;NA;Pregraduate;Urban;Family;3;2;3;1;3
1996;3503;18;female;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;18;student;NA;NA;Secundary (bachillerato);Suburb;Rent;8;2;3;3;5
1997;3474;18;female;FALSE;Colombia;FALSE;Cúcuta;TRUE;Bogotá D.C.;TRUE;1;student;NA;NA;Pregraduate;Urban;Rent;2;2;2;2;3
1998;3508;19;female;FALSE;Colombia;FALSE;Villavicencio;TRUE;Bogotá D.C.;TRUE;3;student;NA;NA;Pregraduate;Urban;Rent;1;4;3;4;4
1999;3514;18;female;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;18;student;NA;NA;Pregraduate;Urban;Family;5;NA;1;2;NA
2000;3513;18;female;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;18;student;NA;NA;Secundary (bachillerato);Urban;Family;7;3;2;4;5
2001;3523;17;female;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;17;student;NA;NA;Pregraduate;Urban;Family;5;NA;1;3;NA
2002;3524;18;female;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;18;student;NA;NA;Secundary (bachillerato);Urban;Rent;5;3;4;2;3
2003;3528;17;male;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;17;student;NA;NA;Secundary (bachillerato);Urban;Family;7;NA;1;2;NA
2004;3529;18;male;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;18;student;NA;NA;Pregraduate;Urban;Family;10;2;3;3;4
2005;3537;17;female;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;17;student;NA;NA;Secundary (bachillerato);Urban;Family;7;NA;1;3;NA
2006;3527;19;male;FALSE;Colombia;FALSE;Cúcuta;TRUE;Bogotá D.C.;TRUE;1;student;NA;NA;Pregraduate;Urban;Property;10;1;1;1;1
2007;3533;23;male;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;23;student;NA;NA;Pregraduate;Urban;Family;3;1;3;1;4
2008;3468;20;male;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;20;student;NA;NA;Secundary (bachillerato);Urban;Family;4;4;4;1;2
2009;3520;21;male;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;21;student;NA;NA;Secundary (bachillerato);Urban;Property;5;2;5;3;3
2010;3158;19;male;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;1;student;NA;NA;Pregraduate;Urban;Property;5;5;2;5;5
2011;3542;58;female;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;58;unemployed;NA;NA;Pregraduate;Urban;Family;3;1;2;4;4
2012;3573;18;male;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;18;student;NA;NA;Pregraduate;Urban;Family;7;5;5;2;4
2013;3549;22;female;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;22;student;NA;NA;Pregraduate;Urban;Property;2;2;2;3;3
2014;3551;21;male;FALSE;Colombia;FALSE;Cúcuta;TRUE;Bogotá D.C.;TRUE;4;student;NA;NA;Pregraduate;Urban;Rent;4;1;2;2;5
2015;3572;18;male;FALSE;Colombia;FALSE;Cúcuta;TRUE;Bogotá D.C.;TRUE;2;student;NA;NA;Pregraduate;Urban;Rent;1;5;1;2;1
2016;3552;21;female;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;2;student;NA;NA;Pregraduate;Urban;Property;6;1;2;5;5
2017;3571;18;male;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;18;student;NA;NA;Secundary (bachillerato);Urban;Family;4;2;4;3;4
2018;3580;18;male;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;18;student;NA;NA;Pregraduate;Urban;Rent;6;4;3;2;5
2019;3585;20;male;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;20;student;NA;NA;Pregraduate;Urban;Family;6;2;4;3;3
2020;3596;38;male;FALSE;Colombia;FALSE;Montería;TRUE;Bogotá D.C.;TRUE;1;unemployed;NA;NA;Pregraduate;Urban;Rent;2;1;2;5;5
2021;3605;61;female;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;61;unemployed;NA;NA;Pregraduate;Urban;Property;2;4;4;2;2
2022;3606;30;female;FALSE;Colombia;TRUE;Bogotá D.C.;TRUE;Bogotá D.C.;TRUE;10;student;NA;NA;Pregraduate;Urban;Rent;2;4;4;1;1
2023;3613;73;male;FALSE;Colombia;FALSE;Guavatá;TRUE;Bogotá D.C.;TRUE;50;employee;private or independant;Personal services;NA;Urban;Property;3;1;5;2;3
